prediction,actual_by_student,record_letter_count
"JlAK6nk,JlAK6no,JlAK6ns","JlAK6nk,JlAK6no,JlAK6ns",734
Jli6Y7Y,Jli6Y7Y,580
JlAK6lk,JlAK6lk,939
JlAKyBA,JlAKyBA,340
"JlAK6mA,Jli6Y7c,Jli6aBU","JlAKyA0,Jli6Y7c,Jli6aBU,JlAK6l0,JlAK6mA",373
"JlAK6nk,JlAK6no,JlAK6ns","JlAK6nk,JlAK6no,JlAK6ns",449
"JlAK6ls,JlAK6nE,JkxirxA","JlAK6mg,JlAK6nk",1217
JlAKx_w,JlAKx_w,461
"JlAKyAk,JkxirxA","Jub5cSY,JlAKyAk,JlAKyA0,JlAKyA4,JlAKyA8,JlAKyBA,JkxirxA,JlAK6lk,JlAK6m8",392
JlAKyBA,JlAKyBA,455
JlAKyBA,"JlAKyA4,JlAKyA8,JlAKyBA,JkxirwY,Jli6WW4,Jli6WW8,Jkxirwk,Jkxirw4,Jli6aBM,Jli6aBU,JlAK6lo,JlAK6lw",121
"JlAKx_w,Jkxiryk",JlAKx_w,685
"JlAKyA4,JlAKyA8,JlAKyBA","JlAKyA4,JlAKyA8,JlAKyBA",493
"Jkxiryk,JlAKyBA","JlAKx_k,JlAKyAE,JlAKyA4,JlAKyA8,JlAKyBA,Jkxirwk,Jli6aBU,JlAK6nE",157
JlAKyA4,"JlAKyA4,JlAKyA8,JlAKyBA,JkxirwY,Jli6WW4,Jkxirwk,JkxirxA,Jkxirw4",112
"JkxirxU,Jkxirxk,JlAK6lo,JlAK6mQ,JlAK6mY,JlAK6mo,JlAK6ms,JlAK6nM","JlAK6lo,JlAK6mI",965
JlAKyA4,"JlAKyA0,JlAKyA4,JlAKyA8,JlAKyBA,JlAK6mQ",119
"JlAK6lk,Jli6WXI,JkxirxU,JlAK6ms,JlAK6nQ","JkxirwY,Jli6WW4,Jli6WXE,Jli6WXI,JkxirxU,JlAK6mI,JlAK6mg,JlAK6nQ,JlAK6nw",1473
"JlAKyAw,Jli6Y7Y","JlAKyAw,Jli6Y7Y",393
JlAK6nc,JlAK6nc,454
JlAK6mc,JlAK6mc,79
"JlAKyA4,JlAKyBA","JlAKyA0,JlAKyA4,JlAKyA8,JlAKyBA",312
"JlAK6nc,JlAK6nM,Jli6WXI","JlAK6nc,JlAK6nM",637
JlAK6mY,JlAK6mY,181
JlAKyA8,"JlAKx_k,Jub5cSY,JlAKyA0,JlAKyA4,JlAKyA8,JlAKyBA",73
"JkxirwY,Jli6WW4","JkxirwY,Jli6WW4,Jli6WXE,JlAK6mI",609
"Jli6aBM,Jli6aBU,Jkxirw4","JlAKx_k,JkxirwY,JkxirxY,JkxirxA,Jkxirw4,Jli6aBM,Jli6aBU,JlAK6nk,JlAK6no,JlAK6nw",428
Jli6Y7Y,Jli6Y7Y,261
JlAKyBA,"JlAKx_k,JlAKyA4,JlAKyA8,JlAKyBA",77
"JlAK6lw,JlAK6nk","JlAKyAw,JlAK6lw,JlAK6nk",667
"JkxirxA,Jkxirw8","JkxirxA,Jkxirw8",671
JlAKyBA,"Jub5cSY,JlAKyA0,JlAKyA4,JlAKyA8,JlAKyBA,JkxirwY,Jli6WW4,Jli6WW8,Jli6WXE,Jkxirwk,JkxirxA,Jkxirw4,JlAK6ng",82
"Jub5cSY,JlAKx_k","Jub5cSY,JlAKx_k",126
JlAK6nw,"JlAK6lw,JlAK6nc,JlAK6nk,JlAK6ns,JlAK6nw",471
"JkxirxY,JlAKx_0,JlAKyAA,JlAKyAE,JlAKyA0,JlAKyA4,JlAKyA8,JlAKyBA","JlAKx_0,JlAKyA0,JkxirwY,Jli6WW4,Jli6WW8,JkxirxY,Jli6TOw,JkxirxA,Jkxirw4,Jli6aBM,Jkxirw8",1358
"JlAK6l0,Jli6Y7Y,JlAKyAw","JlAKyAw,JkxirwY,Jli6WW4,Jli6WXI,Jli6WXQ,Jli6Y7Y,JkxirxA,Jli6aBM,JlAK6l0",214
Jkxirw8,Jkxirw8,239
Jkxirw4,"Jkxirw4,JlAK6mQ",165
JlAK6mo,,152
Jub5cSY,Jub5cSY,134
